2026-08-12 23:59:40 | INFO     | src.ml.embedding_registry | embedding_registry:register_index:112 | Registered embedding index incidents_semantic_index:v1.0 (10,000 vectors, Dim: 384)
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.recommendation_engine | recommendation_engine:export_reports:371 | Exported Phase 5 Hybrid prediction reports to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_recommendation_engine_orc0\reports
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.recommendation_engine | recommendation_engine:recommend:279 | Hybrid Recommendation Complete: Platform-Support-L2 (Very High - 97.60%)
2026-08-12 23:59:44 | WARNING  | src.ml.hybrid.recommendation_engine | recommendation_engine:__init__:79 | Classifier pipeline file not found at C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_recommendation_engine_fil0\models\catboost_assignment_group.pkl; RF predictions will use defaults unless provided.
2026-08-12 23:59:44 | WARNING  | src.ml.hybrid.recommendation_engine | recommendation_engine:__init__:93 | Regressor pipeline file not found at C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_recommendation_engine_fil0\models\catboost_resolution_time_hours.pkl; RF regression will use defaults unless provided.
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.recommendation_engine | recommendation_engine:recommend:224 | Starting Enterprise Hybrid Incident Intelligence recommendation flow...
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.decision_engine | decision_engine:fuse_recommendation:177 | Decision Engine Output: Recommended Group='Platform-Support-L2' (Confidence: 58.60% - Low, MTTR: 3.50h, Success Rate: 80.0%)
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.recommendation_engine | recommendation_engine:recommend:279 | Hybrid Recommendation Complete: Platform-Support-L2 (Low - 58.60%)
2026-08-12 23:59:44 | WARNING  | src.ml.hybrid.recommendation_engine | recommendation_engine:export_reports:297 | File C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_recommendation_engine_fil0\reports\hybrid_prediction.json locked by another process. Writing to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_recommendation_engine_fil0\reports\hybrid_prediction_latest.json
2026-08-12 23:59:44 | WARNING  | src.ml.hybrid.recommendation_engine | recommendation_engine:export_reports:341 | File C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_recommendation_engine_fil0\reports\hybrid_prediction.md locked by another process. Writing to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_recommendation_engine_fil0\reports\hybrid_prediction_latest.md
2026-08-12 23:59:44 | WARNING  | src.ml.hybrid.recommendation_engine | recommendation_engine:export_reports:368 | File C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_recommendation_engine_fil0\reports\hybrid_prediction.csv locked by another process. Writing to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_recommendation_engine_fil0\reports\hybrid_prediction_latest.csv
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.recommendation_engine | recommendation_engine:export_reports:371 | Exported Phase 5 Hybrid prediction reports to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_recommendation_engine_fil0\reports
2026-08-12 23:59:44 | WARNING  | src.ml.hybrid.recommendation_engine | recommendation_engine:__init__:93 | Regressor pipeline file not found at C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_sync_features_and_edge_ca0\models\catboost_resolution_time_hours.pkl; RF regression will use defaults unless provided.
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.recommendation_engine | recommendation_engine:recommend:224 | Starting Enterprise Hybrid Incident Intelligence recommendation flow...
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.decision_engine | decision_engine:fuse_recommendation:177 | Decision Engine Output: Recommended Group='Network-Ops' (Confidence: 76.60% - High, MTTR: 3.50h, Success Rate: 10.0%)
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.recommendation_engine | recommendation_engine:recommend:279 | Hybrid Recommendation Complete: Network-Ops (High - 76.60%)
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.recommendation_engine | recommendation_engine:export_reports:371 | Exported Phase 5 Hybrid prediction reports to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_sync_features_and_edge_ca0\reports
2026-08-12 23:59:44 | WARNING  | src.ml.hybrid.recommendation_engine | recommendation_engine:__init__:77 | Could not load classifier pipeline from C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_sync_features_and_edge_ca0\models\catboost_assignment_group.pkl: 
2026-08-12 23:59:44 | WARNING  | src.ml.hybrid.recommendation_engine | recommendation_engine:__init__:91 | Could not load regressor pipeline from C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_sync_features_and_edge_ca0\models\catboost_resolution_time_hours.pkl: 
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.recommendation_engine | recommendation_engine:recommend:224 | Starting Enterprise Hybrid Incident Intelligence recommendation flow...
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.decision_engine | decision_engine:fuse_recommendation:177 | Decision Engine Output: Recommended Group='Platform-Support-L2' (Confidence: 58.60% - Low, MTTR: 3.50h, Success Rate: 80.0%)
2026-08-12 23:59:44 | INFO     | src.ml.hybrid.recommendation_engine | recommendation_engine:recommend:279 | Hybrid Recommendation Complete: Platform-Support-L2 (Low - 58.60%)
2026-08-12 23:59:44 | INFO     | src.ml.model_registry | model_registry:register_model:124 | Registered model rf_classifier:v1.0.0 (SHA256: c7a5850aab5d...)
2026-08-12 23:59:44 | INFO     | src.ml.model_registry | model_registry:register_model:124 | Registered model rf_clean:v1.0 (SHA256: cfe3cd5c636f...)
2026-08-12 23:59:44 | INFO     | src.ml.model_registry | model_registry:verify_and_load_model_path:168 | Verified model rf_clean:v1.0 (SHA256 & Feature Registry compliant).
2026-08-12 23:59:44 | INFO     | src.ml.model_registry | model_registry:register_model:124 | Registered model rf_leaky:v1.0 (SHA256: 10fd88d88cf1...)
2026-08-12 23:59:44 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:139 | Constructing semantic text documents across 2 incident records...
2026-08-12 23:59:44 | WARNING  | src.ml.semantic.embedding_generator | embedding_generator:model:82 | Pipeline C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_embed_dataframe_and_stora0\tfidf-svd-384.pkl does not exist. It will be trained upon calling embed_dataframe.
2026-08-12 23:59:44 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:149 | Training TF-IDF + TruncatedSVD pipeline across 2 documents...
2026-08-12 23:59:44 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:173 | Saved local embedding pipeline to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_embed_dataframe_and_stora0\tfidf-svd-384.pkl
2026-08-12 23:59:44 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:191 | Embedding complete. Matrix shape: (2, 1), Metadata records: 2
2026-08-12 23:59:44 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:save_embeddings:243 | Saved separated embedding artifacts to:
  - Vector Matrix: C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_embed_dataframe_and_stora0\test_embeddings.npy ((2, 1))
  - Metadata Table: C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_embed_dataframe_and_stora0\test_metadata.csv (2 records)
2026-08-12 23:59:44 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:load_embeddings:264 | Loaded embeddings matrix (2, 1) and 2 metadata rows from C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_embed_dataframe_and_stora0
2026-08-12 23:59:44 | INFO     | src.ml.semantic.faiss_index | faiss_index:create_index:77 | Initializing FAISS index 'unit_test' (type=FlatIP, dim=8)...
2026-08-12 23:59:44 | INFO     | src.ml.semantic.faiss_index | faiss_index:add_embeddings:147 | Added 8 vectors. Total indexed vectors: 8
2026-08-12 23:59:44 | INFO     | src.ml.semantic.faiss_index | faiss_index:create_index:77 | Initializing FAISS index 'incident_semantic_index' (type=IVFFlat, dim=16)...
2026-08-12 23:59:44 | INFO     | src.ml.semantic.faiss_index | faiss_index:create_index:97 | Training IVFFlat quantizer across 50 vectors (nlist=1)...
2026-08-12 23:59:44 | INFO     | src.ml.semantic.faiss_index | faiss_index:add_embeddings:147 | Added 50 vectors. Total indexed vectors: 50
2026-08-12 23:59:44 | INFO     | src.ml.semantic.faiss_index | faiss_index:create_index:77 | Initializing FAISS index 'save_test' (type=FlatL2, dim=4)...
2026-08-12 23:59:44 | INFO     | src.ml.semantic.faiss_index | faiss_index:add_embeddings:147 | Added 5 vectors. Total indexed vectors: 5
2026-08-12 23:59:44 | INFO     | src.ml.embedding_registry | embedding_registry:register_index:112 | Registered embedding index save_test:v1 (5 vectors, Dim: 4)
2026-08-12 23:59:44 | INFO     | src.ml.embedding_registry | embedding_registry:export_markdown:164 | Exported Embedding Registry Markdown to: indexes\embedding_registry.md
2026-08-12 23:59:44 | INFO     | src.ml.semantic.faiss_index | faiss_index:save_index:234 | Successfully saved FAISS index to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_save_and_load_index0\save_test_v1.index (5 vectors) and registered in EmbeddingRegistry.
2026-08-12 23:59:44 | INFO     | src.ml.semantic.faiss_index | faiss_index:load_index:267 | Loaded FAISS index 'save_test:v1' from C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_save_and_load_index0\save_test_v1.index. Total vectors: 5
2026-08-12 23:59:44 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:build_index_from_dataframe:65 | Starting end-to-end semantic index build across 4 records...
2026-08-12 23:59:44 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:139 | Constructing semantic text documents across 4 incident records...
2026-08-12 23:59:44 | WARNING  | src.ml.semantic.embedding_generator | embedding_generator:model:82 | Pipeline C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_build_and_query_engine0\embed\tfidf-svd-384.pkl does not exist. It will be trained upon calling embed_dataframe.
2026-08-12 23:59:44 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:149 | Training TF-IDF + TruncatedSVD pipeline across 4 documents...
2026-08-12 23:59:44 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:173 | Saved local embedding pipeline to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_build_and_query_engine0\embed\tfidf-svd-384.pkl
2026-08-12 23:59:44 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:191 | Embedding complete. Matrix shape: (4, 3), Metadata records: 4
2026-08-12 23:59:45 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:save_embeddings:243 | Saved separated embedding artifacts to:
  - Vector Matrix: C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_build_and_query_engine0\embed\test_sim_index_embeddings.npy ((4, 3))
  - Metadata Table: C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_build_and_query_engine0\embed\test_sim_index_metadata.csv (4 records)
2026-08-12 23:59:45 | INFO     | src.ml.semantic.faiss_index | faiss_index:create_index:77 | Initializing FAISS index 'test_sim_index' (type=FlatIP, dim=3)...
2026-08-12 23:59:45 | INFO     | src.ml.semantic.faiss_index | faiss_index:add_embeddings:147 | Added 4 vectors. Total indexed vectors: 4
2026-08-12 23:59:45 | INFO     | src.ml.embedding_registry | embedding_registry:register_index:112 | Registered embedding index test_sim_index:latest (4 vectors, Dim: 3)
2026-08-12 23:59:45 | INFO     | src.ml.embedding_registry | embedding_registry:export_markdown:164 | Exported Embedding Registry Markdown to: indexes\embedding_registry.md
2026-08-12 23:59:45 | INFO     | src.ml.semantic.faiss_index | faiss_index:save_index:234 | Successfully saved FAISS index to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_build_and_query_engine0\idx\test_sim_index_latest.index (4 vectors) and registered in EmbeddingRegistry.
2026-08-12 23:59:45 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:build_index_from_dataframe:91 | Successfully built and registered semantic index 'test_sim_index:latest' (4 vectors).
2026-08-12 23:59:45 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:find_similar_incidents:143 | Resolved query 'INC001' to existing historical record. Generating query vector...
2026-08-12 23:59:45 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:find_similar_incidents:159 | Executing FAISS Top-2 similarity search for Incident Number: INC001...
2026-08-12 23:59:45 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:_export_similarity_reports:259 | Exported Top-2 similarity retrieval reports to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_build_and_query_engine0\reports\similarity_results.csv and C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_build_and_query_engine0\reports\similarity_results.md
2026-08-12 23:59:45 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:find_similar_incidents:159 | Executing FAISS Top-2 similarity search for Text Query: 'ATM withdrawal failing...'...
2026-08-12 23:59:45 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:_export_similarity_reports:259 | Exported Top-2 similarity retrieval reports to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_build_and_query_engine0\reports\similarity_results.csv and C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_build_and_query_engine0\reports\similarity_results.md
2026-08-12 23:59:45 | INFO     | src.ml.catboost.trainer | trainer:build_preprocessing_pipeline:141 | Built zero-leakage preprocessing pipeline across 26 predictors (Freq: 5, OneHot: 6, Num: 13).
2026-08-12 23:59:45 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_global:156 | Computing SHAP values across 15 records...
2026-08-12 23:59:47 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_global:199 | Exported global SHAP plots to reports/shap_bar.png & reports/shap_summary.png
2026-08-12 23:59:47 | INFO     | src.ml.catboost.trainer | trainer:build_preprocessing_pipeline:141 | Built zero-leakage preprocessing pipeline across 26 predictors (Freq: 5, OneHot: 6, Num: 13).
2026-08-12 23:59:48 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_prediction:355 | Generated structured prediction metadata across 5 records (C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_explain_prediction0\reports\prediction_metadata.json & C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_explain_prediction0\reports\prediction_metadata.csv).
2026-08-12 23:59:48 | INFO     | src.ml.catboost.trainer | trainer:build_preprocessing_pipeline:141 | Built zero-leakage preprocessing pipeline across 26 predictors (Freq: 5, OneHot: 6, Num: 13).
2026-08-12 23:59:48 | INFO     | src.ml.catboost.trainer | trainer:build_preprocessing_pipeline:141 | Built zero-leakage preprocessing pipeline across 26 predictors (Freq: 5, OneHot: 6, Num: 13).
2026-08-12 23:59:48 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_global:156 | Computing SHAP values across 15 records...
2026-08-12 23:59:50 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_global:199 | Exported global SHAP plots to reports/shap_bar.png & reports/shap_summary.png
2026-08-12 23:59:51 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_prediction:355 | Generated structured prediction metadata across 3 records (C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_explain_regression0\reports_reg\prediction_metadata.json & C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_explain_regression0\reports_reg\prediction_metadata.csv).
